,Fund_01,Fund_02,Fund_03,Fund_04,Fund_05,Fund_06,Fund_07,Fund_08,Fund_09,Fund_10
Fund_01,0.005084970214397264,0.002587917913431807,0.0009533262723015861,0.0013563018703393944,0.0005191684751462913,0.0004888108354466824,0.0026444333254366332,0.0009620923092566018,0.00011174125926519632,0.00012420042427622002
Fund_02,0.002587917913431807,0.001743277648519994,0.0007219684304918915,0.0009622016326996339,0.00025311110784355725,0.00024323750811829935,0.0013663868197765381,0.00039784429399946925,4.2442429555935165e-05,4.7371994188720916e-05
Fund_03,0.0009533262723015861,0.0007219684304918915,0.0013565711396799679,0.0003877470521826699,0.0002689056820198002,0.00022031230923925824,0.0007683787518974218,0.0002826537169733258,2.7264667904701942e-05,1.935954210627554e-05
Fund_04,0.0013563018703393944,0.0009622016326996339,0.0003877470521826699,0.0019248575027797838,0.00022694793530005268,0.00016963713166970388,0.0007638196513186946,0.0005054239747724096,2.990890159945869e-05,4.337515578303172e-05
Fund_05,0.0005191684751462913,0.00025311110784355725,0.0002689056820198002,0.00022694793530005268,0.0007330622922897367,0.00018202764059525083,0.000689247997602247,0.0004565424519685933,3.035579239050699e-05,6.899589319131671e-05
Fund_06,0.0004888108354466824,0.00024323750811829935,0.00022031230923925824,0.00016963713166970388,0.00018202764059525083,0.00014562895459042415,0.00035623862267450336,0.0001922404925499223,2.995674360866267e-05,3.625280185045534e-05
Fund_07,0.0026444333254366332,0.0013663868197765381,0.0007683787518974218,0.0007638196513186946,0.000689247997602247,0.00035623862267450336,0.0025376063198064218,0.00099566789863623,9.358311775442004e-05,0.00014886539694379422
Fund_08,0.0009620923092566018,0.00039784429399946925,0.0002826537169733258,0.0005054239747724096,0.0004565424519685933,0.0001922404925499223,0.00099566789863623,0.0007285809708900663,6.458544912630542e-05,0.00011318751912428287
Fund_09,0.00011174125926519632,4.2442429555935165e-05,2.7264667904701942e-05,2.990890159945869e-05,3.035579239050699e-05,2.995674360866267e-05,9.358311775442004e-05,6.458544912630542e-05,1.3626881631998827e-05,1.7224427390187097e-05
Fund_10,0.00012420042427622002,4.7371994188720916e-05,1.935954210627554e-05,4.337515578303172e-05,6.899589319131671e-05,3.625280185045534e-05,0.00014886539694379422,0.00011318751912428287,1.7224427390187097e-05,3.6946988815596645e-05
